Balayage;Temps;Temps;S304;S 305
1;27/01/2023 10:43;27/01/2023 10:43;14,823;15,137
2;27/01/2023 10:43;27/01/2023 10:43;14,829;15,145
3;27/01/2023 10:43;27/01/2023 10:43;14,84;15,168
4;27/01/2023 10:43;27/01/2023 10:43;14,86;15,208
5;27/01/2023 10:43;27/01/2023 10:43;14,892;15,279
6;27/01/2023 10:43;27/01/2023 10:43;14,94;15,349
7;27/01/2023 10:43;27/01/2023 10:43;15,004;15,459
8;27/01/2023 10:43;27/01/2023 10:43;15,094;15,601
9;27/01/2023 10:43;27/01/2023 10:43;15,204;15,775
10;27/01/2023 10:44;27/01/2023 10:44;15,34;15,989
11;27/01/2023 10:44;27/01/2023 10:44;15,504;16,237
12;27/01/2023 10:44;27/01/2023 10:44;15,698;16,524
13;27/01/2023 10:44;27/01/2023 10:44;15,921;16,854
14;27/01/2023 10:44;27/01/2023 10:44;16,177;17,2
15;27/01/2023 10:44;27/01/2023 10:44;16,461;17,613
16;27/01/2023 10:44;27/01/2023 10:44;16,777;18,048
17;27/01/2023 10:44;27/01/2023 10:44;17,128;18,504
18;27/01/2023 10:44;27/01/2023 10:44;17,504;18,997
19;27/01/2023 10:44;27/01/2023 10:44;17,912;19,48
20;27/01/2023 10:44;27/01/2023 10:44;18,338;20,006
21;27/01/2023 10:44;27/01/2023 10:44;18,789;20,541
22;27/01/2023 10:45;27/01/2023 10:45;19,253;21,076
23;27/01/2023 10:45;27/01/2023 10:45;19,726;21,619
24;27/01/2023 10:45;27/01/2023 10:45;20,208;22,143
25;27/01/2023 10:45;27/01/2023 10:45;20,686;22,658
26;27/01/2023 10:45;27/01/2023 10:45;21,17;23,156
27;27/01/2023 10:45;27/01/2023 10:45;21,647;23,648
28;27/01/2023 10:45;27/01/2023 10:45;22,12;24,122
29;27/01/2023 10:45;27/01/2023 10:45;22,574;24,55
30;27/01/2023 10:45;27/01/2023 10:45;23,027;24,974
31;27/01/2023 10:45;27/01/2023 10:45;23,465;25,402
32;27/01/2023 10:45;27/01/2023 10:45;23,887;25,78
33;27/01/2023 10:45;27/01/2023 10:45;24,297;26,165
34;27/01/2023 10:46;27/01/2023 10:46;24,689;26,528
35;27/01/2023 10:46;27/01/2023 10:46;25,068;26,883
36;27/01/2023 10:46;27/01/2023 10:46;25,429;27,21
37;27/01/2023 10:46;27/01/2023 10:46;25,774;27,461
38;27/01/2023 10:46;27/01/2023 10:46;26,103;27,753
39;27/01/2023 10:46;27/01/2023 10:46;26,415;28,026
40;27/01/2023 10:46;27/01/2023 10:46;26,711;28,265
41;27/01/2023 10:46;27/01/2023 10:46;26,987;28,496
42;27/01/2023 10:46;27/01/2023 10:46;27,252;28,713
43;27/01/2023 10:46;27/01/2023 10:46;27,497;28,891
44;27/01/2023 10:46;27/01/2023 10:46;27,723;29,086
45;27/01/2023 10:46;27/01/2023 10:46;27,939;29,244
46;27/01/2023 10:47;27/01/2023 10:47;28,136;29,391
47;27/01/2023 10:47;27/01/2023 10:47;28,321;29,533
48;27/01/2023 10:47;27/01/2023 10:47;28,489;29,65
49;27/01/2023 10:47;27/01/2023 10:47;28,646;29,752
50;27/01/2023 10:47;27/01/2023 10:47;28,789;29,849
51;27/01/2023 10:47;27/01/2023 10:47;28,914;29,944
52;27/01/2023 10:47;27/01/2023 10:47;29,031;30,027
53;27/01/2023 10:47;27/01/2023 10:47;29,138;30,115
54;27/01/2023 10:47;27/01/2023 10:47;29,23;30,178
55;27/01/2023 10:47;27/01/2023 10:47;29,314;30,239
56;27/01/2023 10:47;27/01/2023 10:47;29,391;30,255
57;27/01/2023 10:47;27/01/2023 10:47;29,455;30,266
58;27/01/2023 10:48;27/01/2023 10:48;29,514;30,297
59;27/01/2023 10:48;27/01/2023 10:48;29,561;30,321
60;27/01/2023 10:48;27/01/2023 10:48;29,603;30,346
61;27/01/2023 10:48;27/01/2023 10:48;29,639;30,338
62;27/01/2023 10:48;27/01/2023 10:48;29,669;30,339
63;27/01/2023 10:48;27/01/2023 10:48;29,693;30,326
64;27/01/2023 10:48;27/01/2023 10:48;29,711;30,333
65;27/01/2023 10:48;27/01/2023 10:48;29,727;30,337
66;27/01/2023 10:48;27/01/2023 10:48;29,738;30,338
67;27/01/2023 10:48;27/01/2023 10:48;29,744;30,315
68;27/01/2023 10:48;27/01/2023 10:48;29,746;30,307
69;27/01/2023 10:48;27/01/2023 10:48;29,747;30,29
70;27/01/2023 10:49;27/01/2023 10:49;29,743;30,287
71;27/01/2023 10:49;27/01/2023 10:49;29,74;30,276
72;27/01/2023 10:49;27/01/2023 10:49;29,736;30,252
73;27/01/2023 10:49;27/01/2023 10:49;29,726;30,235
74;27/01/2023 10:49;27/01/2023 10:49;29,717;30,226
75;27/01/2023 10:49;27/01/2023 10:49;29,709;30,209
76;27/01/2023 10:49;27/01/2023 10:49;29,695;30,208
77;27/01/2023 10:49;27/01/2023 10:49;29,684;30,181
78;27/01/2023 10:49;27/01/2023 10:49;29,672;30,172
79;27/01/2023 10:49;27/01/2023 10:49;29,66;30,162
80;27/01/2023 10:49;27/01/2023 10:49;29,643;30,152
81;27/01/2023 10:49;27/01/2023 10:49;29,633;30,117
82;27/01/2023 10:50;27/01/2023 10:50;29,617;30,137
83;27/01/2023 10:50;27/01/2023 10:50;29,608;30,098
84;27/01/2023 10:50;27/01/2023 10:50;29,594;30,109
85;27/01/2023 10:50;27/01/2023 10:50;29,582;30,041
86;27/01/2023 10:50;27/01/2023 10:50;29,572;30,045
87;27/01/2023 10:50;27/01/2023 10:50;29,56;30,044
88;27/01/2023 10:50;27/01/2023 10:50;29,55;30,016
89;27/01/2023 10:50;27/01/2023 10:50;29,537;30,011
90;27/01/2023 10:50;27/01/2023 10:50;29,527;30,011
91;27/01/2023 10:50;27/01/2023 10:50;29,518;29,974
92;27/01/2023 10:50;27/01/2023 10:50;29,508;29,972
93;27/01/2023 10:50;27/01/2023 10:50;29,504;29,968
94;27/01/2023 10:51;27/01/2023 10:51;29,496;29,969
95;27/01/2023 10:51;27/01/2023 10:51;29,488;29,972
96;27/01/2023 10:51;27/01/2023 10:51;29,482;29,967
97;27/01/2023 10:51;27/01/2023 10:51;29,475;29,963
98;27/01/2023 10:51;27/01/2023 10:51;29,47;29,925
99;27/01/2023 10:51;27/01/2023 10:51;29,466;29,932
100;27/01/2023 10:51;27/01/2023 10:51;29,461;29,94
101;27/01/2023 10:51;27/01/2023 10:51;29,458;29,958
102;27/01/2023 10:51;27/01/2023 10:51;29,457;29,919
103;27/01/2023 10:51;27/01/2023 10:51;29,452;29,93
104;27/01/2023 10:51;27/01/2023 10:51;29,452;29,909
105;27/01/2023 10:51;27/01/2023 10:51;29,447;29,919
106;27/01/2023 10:52;27/01/2023 10:52;29,449;29,933
107;27/01/2023 10:52;27/01/2023 10:52;29,447;29,926
108;27/01/2023 10:52;27/01/2023 10:52;29,447;29,947
109;27/01/2023 10:52;27/01/2023 10:52;29,447;29,936
110;27/01/2023 10:52;27/01/2023 10:52;29,446;29,889
111;27/01/2023 10:52;27/01/2023 10:52;29,447;29,898
112;27/01/2023 10:52;27/01/2023 10:52;29,447;29,907
113;27/01/2023 10:52;27/01/2023 10:52;29,451;29,899
114;27/01/2023 10:52;27/01/2023 10:52;29,448;29,904
115;27/01/2023 10:52;27/01/2023 10:52;29,45;29,91
116;27/01/2023 10:52;27/01/2023 10:52;29,451;29,908
117;27/01/2023 10:52;27/01/2023 10:52;29,453;29,921
118;27/01/2023 10:53;27/01/2023 10:53;29,456;29,93
119;27/01/2023 10:53;27/01/2023 10:53;29,456;29,921
120;27/01/2023 10:53;27/01/2023 10:53;29,459;29,942
121;27/01/2023 10:53;27/01/2023 10:53;29,46;29,892
122;27/01/2023 10:53;27/01/2023 10:53;29,464;29,906
123;27/01/2023 10:53;27/01/2023 10:53;29,465;29,921
124;27/01/2023 10:53;27/01/2023 10:53;29,469;29,924
125;27/01/2023 10:53;27/01/2023 10:53;29,47;29,935
126;27/01/2023 10:53;27/01/2023 10:53;29,472;29,976
127;27/01/2023 10:53;27/01/2023 10:53;29,475;29,94
128;27/01/2023 10:53;27/01/2023 10:53;29,477;29,951
129;27/01/2023 10:53;27/01/2023 10:53;29,479;29,938
130;27/01/2023 10:54;27/01/2023 10:54;29,482;29,956
131;27/01/2023 10:54;27/01/2023 10:54;29,485;29,945
132;27/01/2023 10:54;27/01/2023 10:54;29,485;29,949
133;27/01/2023 10:54;27/01/2023 10:54;29,488;29,963
134;27/01/2023 10:54;27/01/2023 10:54;29,489;29,972
135;27/01/2023 10:54;27/01/2023 10:54;29,492;29,944
136;27/01/2023 10:54;27/01/2023 10:54;29,493;29,964
137;27/01/2023 10:54;27/01/2023 10:54;29,494;29,946
138;27/01/2023 10:54;27/01/2023 10:54;29,497;29,973
139;27/01/2023 10:54;27/01/2023 10:54;29,499;29,943
140;27/01/2023 10:54;27/01/2023 10:54;29,501;29,957
141;27/01/2023 10:54;27/01/2023 10:54;29,504;29,943
142;27/01/2023 10:55;27/01/2023 10:55;29,503;29,949
143;27/01/2023 10:55;27/01/2023 10:55;29,505;29,956
144;27/01/2023 10:55;27/01/2023 10:55;29,51;29,982
145;27/01/2023 10:55;27/01/2023 10:55;29,507;29,932
146;27/01/2023 10:55;27/01/2023 10:55;29,509;29,943
147;27/01/2023 10:55;27/01/2023 10:55;29,511;29,961
148;27/01/2023 10:55;27/01/2023 10:55;29,511;29,959
149;27/01/2023 10:55;27/01/2023 10:55;29,511;29,949
150;27/01/2023 10:55;27/01/2023 10:55;29,513;29,966
151;27/01/2023 10:55;27/01/2023 10:55;29,515;29,973
152;27/01/2023 10:55;27/01/2023 10:55;29,516;29,977
153;27/01/2023 10:55;27/01/2023 10:55;29,516;29,967
154;27/01/2023 10:56;27/01/2023 10:56;29,517;29,952
155;27/01/2023 10:56;27/01/2023 10:56;29,519;29,945
156;27/01/2023 10:56;27/01/2023 10:56;29,52;29,951
157;27/01/2023 10:56;27/01/2023 10:56;29,52;29,955
158;27/01/2023 10:56;27/01/2023 10:56;29,52;29,952
159;27/01/2023 10:56;27/01/2023 10:56;29,523;29,96
160;27/01/2023 10:56;27/01/2023 10:56;29,522;29,965
161;27/01/2023 10:56;27/01/2023 10:56;29,524;29,978
162;27/01/2023 10:56;27/01/2023 10:56;29,524;29,997
163;27/01/2023 10:56;27/01/2023 10:56;29,524;29,984
164;27/01/2023 10:56;27/01/2023 10:56;29,527;29,968
165;27/01/2023 10:56;27/01/2023 10:56;29,526;29,969
166;27/01/2023 10:57;27/01/2023 10:57;29,525;29,975
167;27/01/2023 10:57;27/01/2023 10:57;29,527;29,986
168;27/01/2023 10:57;27/01/2023 10:57;29,529;29,957
169;27/01/2023 10:57;27/01/2023 10:57;29,529;29,975
170;27/01/2023 10:57;27/01/2023 10:57;29,53;29,972
171;27/01/2023 10:57;27/01/2023 10:57;29,531;29,987
172;27/01/2023 10:57;27/01/2023 10:57;29,531;30,002
173;27/01/2023 10:57;27/01/2023 10:57;29,532;29,959
174;27/01/2023 10:57;27/01/2023 10:57;29,532;29,968
175;27/01/2023 10:57;27/01/2023 10:57;29,532;29,981
176;27/01/2023 10:57;27/01/2023 10:57;29,532;30,01
177;27/01/2023 10:57;27/01/2023 10:57;29,532;30,022
178;27/01/2023 10:58;27/01/2023 10:58;29,533;29,973
179;27/01/2023 10:58;27/01/2023 10:58;29,532;29,99
180;27/01/2023 10:58;27/01/2023 10:58;29,535;30,008
181;27/01/2023 10:58;27/01/2023 10:58;29,534;30,013
182;27/01/2023 10:58;27/01/2023 10:58;29,535;30,006
183;27/01/2023 10:58;27/01/2023 10:58;29,536;29,982
184;27/01/2023 10:58;27/01/2023 10:58;29,535;29,991
185;27/01/2023 10:58;27/01/2023 10:58;29,536;29,979
186;27/01/2023 10:58;27/01/2023 10:58;29,54;29,998
187;27/01/2023 10:58;27/01/2023 10:58;29,537;30,011
188;27/01/2023 10:58;27/01/2023 10:58;29,537;30,037
189;27/01/2023 10:58;27/01/2023 10:58;29,538;30,007
190;27/01/2023 10:59;27/01/2023 10:59;29,538;29,98
191;27/01/2023 10:59;27/01/2023 10:59;29,538;29,998
192;27/01/2023 10:59;27/01/2023 10:59;29,538;30,009
193;27/01/2023 10:59;27/01/2023 10:59;29,54;30
194;27/01/2023 10:59;27/01/2023 10:59;29,537;30,009
195;27/01/2023 10:59;27/01/2023 10:59;29,539;30,011
196;27/01/2023 10:59;27/01/2023 10:59;29,538;29,995
197;27/01/2023 10:59;27/01/2023 10:59;29,539;30,003
198;27/01/2023 10:59;27/01/2023 10:59;29,541;29,972
199;27/01/2023 10:59;27/01/2023 10:59;29,542;29,975
200;27/01/2023 10:59;27/01/2023 10:59;29,539;29,98
201;27/01/2023 10:59;27/01/2023 10:59;29,539;29,994
202;27/01/2023 11:00;27/01/2023 11:00;29,541;29,982
203;27/01/2023 11:00;27/01/2023 11:00;29,54;29,981
204;27/01/2023 11:00;27/01/2023 11:00;29,539;29,992
205;27/01/2023 11:00;27/01/2023 11:00;29,539;29,994
206;27/01/2023 11:00;27/01/2023 11:00;29,542;29,995
207;27/01/2023 11:00;27/01/2023 11:00;29,541;30,024
208;27/01/2023 11:00;27/01/2023 11:00;29,541;29,995
209;27/01/2023 11:00;27/01/2023 11:00;29,541;29,944
210;27/01/2023 11:00;27/01/2023 11:00;29,541;29,962
211;27/01/2023 11:00;27/01/2023 11:00;29,54;29,982
212;27/01/2023 11:00;27/01/2023 11:00;29,542;29,959
213;27/01/2023 11:00;27/01/2023 11:00;29,541;29,972
214;27/01/2023 11:01;27/01/2023 11:01;29,539;30,005
215;27/01/2023 11:01;27/01/2023 11:01;29,54;29,975
216;27/01/2023 11:01;27/01/2023 11:01;29,541;29,992
217;27/01/2023 11:01;27/01/2023 11:01;29,54;29,983
218;27/01/2023 11:01;27/01/2023 11:01;29,541;30,011
219;27/01/2023 11:01;27/01/2023 11:01;29,538;30,028
220;27/01/2023 11:01;27/01/2023 11:01;29,539;30,046
221;27/01/2023 11:01;27/01/2023 11:01;29,539;29,992
222;27/01/2023 11:01;27/01/2023 11:01;29,539;29,967
223;27/01/2023 11:01;27/01/2023 11:01;29,539;29,983
224;27/01/2023 11:01;27/01/2023 11:01;29,539;29,989
225;27/01/2023 11:01;27/01/2023 11:01;29,539;29,996
226;27/01/2023 11:02;27/01/2023 11:02;29,541;29,986
227;27/01/2023 11:02;27/01/2023 11:02;29,538;29,982
228;27/01/2023 11:02;27/01/2023 11:02;29,54;29,985
229;27/01/2023 11:02;27/01/2023 11:02;29,541;29,981
230;27/01/2023 11:02;27/01/2023 11:02;29,542;29,99
231;27/01/2023 11:02;27/01/2023 11:02;29,542;29,994
232;27/01/2023 11:02;27/01/2023 11:02;29,54;30,02
233;27/01/2023 11:02;27/01/2023 11:02;29,542;30,038
234;27/01/2023 11:02;27/01/2023 11:02;29,54;30,016
235;27/01/2023 11:02;27/01/2023 11:02;29,541;29,986
236;27/01/2023 11:02;27/01/2023 11:02;29,541;30,008
237;27/01/2023 11:02;27/01/2023 11:02;29,54;29,997
238;27/01/2023 11:03;27/01/2023 11:03;29,541;29,97
239;27/01/2023 11:03;27/01/2023 11:03;29,539;29,99
240;27/01/2023 11:03;27/01/2023 11:03;29,542;29,968
241;27/01/2023 11:03;27/01/2023 11:03;29,54;29,991
242;27/01/2023 11:03;27/01/2023 11:03;29,541;30,022
243;27/01/2023 11:03;27/01/2023 11:03;29,541;29,996
244;27/01/2023 11:03;27/01/2023 11:03;29,541;30,06
245;27/01/2023 11:03;27/01/2023 11:03;29,544;29,983
246;27/01/2023 11:03;27/01/2023 11:03;29,541;30,011
247;27/01/2023 11:03;27/01/2023 11:03;29,542;30,001
248;27/01/2023 11:03;27/01/2023 11:03;29,544;29,987
249;27/01/2023 11:03;27/01/2023 11:03;29,543;29,99
250;27/01/2023 11:04;27/01/2023 11:04;29,541;30,02
251;27/01/2023 11:04;27/01/2023 11:04;29,546;30,01
252;27/01/2023 11:04;27/01/2023 11:04;29,544;29,982
253;27/01/2023 11:04;27/01/2023 11:04;29,544;29,961
254;27/01/2023 11:04;27/01/2023 11:04;29,542;29,969
255;27/01/2023 11:04;27/01/2023 11:04;29,544;29,982
256;27/01/2023 11:04;27/01/2023 11:04;29,544;30,02
257;27/01/2023 11:04;27/01/2023 11:04;29,542;29,984
258;27/01/2023 11:04;27/01/2023 11:04;29,542;29,97
259;27/01/2023 11:04;27/01/2023 11:04;29,546;29,988
260;27/01/2023 11:04;27/01/2023 11:04;29,544;29,992
261;27/01/2023 11:04;27/01/2023 11:04;29,547;30,015
262;27/01/2023 11:05;27/01/2023 11:05;29,545;29,973
263;27/01/2023 11:05;27/01/2023 11:05;29,544;29,997
264;27/01/2023 11:05;27/01/2023 11:05;29,544;30,022
265;27/01/2023 11:05;27/01/2023 11:05;29,549;30,02
266;27/01/2023 11:05;27/01/2023 11:05;29,559;30,043
267;27/01/2023 11:05;27/01/2023 11:05;29,577;30,107
268;27/01/2023 11:05;27/01/2023 11:05;29,611;30,139
269;27/01/2023 11:05;27/01/2023 11:05;29,66;30,224
270;27/01/2023 11:05;27/01/2023 11:05;29,728;30,351
271;27/01/2023 11:05;27/01/2023 11:05;29,814;30,51
272;27/01/2023 11:05;27/01/2023 11:05;29,927;30,705
273;27/01/2023 11:05;27/01/2023 11:05;30,063;30,919
274;27/01/2023 11:06;27/01/2023 11:06;30,23;31,126
275;27/01/2023 11:06;27/01/2023 11:06;30,423;31,419
276;27/01/2023 11:06;27/01/2023 11:06;30,645;31,736
277;27/01/2023 11:06;27/01/2023 11:06;30,9;32,088
278;27/01/2023 11:06;27/01/2023 11:06;31,184;32,494
279;27/01/2023 11:06;27/01/2023 11:06;31,499;32,914
280;27/01/2023 11:06;27/01/2023 11:06;31,846;33,361
281;27/01/2023 11:06;27/01/2023 11:06;32,225;33,834
282;27/01/2023 11:06;27/01/2023 11:06;32,633;34,342
283;27/01/2023 11:06;27/01/2023 11:06;33,076;34,901
284;27/01/2023 11:06;27/01/2023 11:06;33,546;35,464
285;27/01/2023 11:06;27/01/2023 11:06;34,039;36,091
286;27/01/2023 11:07;27/01/2023 11:07;34,566;36,704
287;27/01/2023 11:07;27/01/2023 11:07;35,116;37,32
288;27/01/2023 11:07;27/01/2023 11:07;35,692;37,982
289;27/01/2023 11:07;27/01/2023 11:07;36,292;38,65
290;27/01/2023 11:07;27/01/2023 11:07;36,899;39,322
291;27/01/2023 11:07;27/01/2023 11:07;37,52;40,013
292;27/01/2023 11:07;27/01/2023 11:07;38,145;40,671
293;27/01/2023 11:07;27/01/2023 11:07;38,774;41,341
294;27/01/2023 11:07;27/01/2023 11:07;39,401;41,983
295;27/01/2023 11:07;27/01/2023 11:07;40,015;42,585
296;27/01/2023 11:07;27/01/2023 11:07;40,625;43,209
297;27/01/2023 11:07;27/01/2023 11:07;41,218;43,751
298;27/01/2023 11:08;27/01/2023 11:08;41,802;44,319
299;27/01/2023 11:08;27/01/2023 11:08;42,364;44,865
300;27/01/2023 11:08;27/01/2023 11:08;42,913;45,387
301;27/01/2023 11:08;27/01/2023 11:08;43,436;45,859
302;27/01/2023 11:08;27/01/2023 11:08;43,946;46,308
303;27/01/2023 11:08;27/01/2023 11:08;44,43;46,714
304;27/01/2023 11:08;27/01/2023 11:08;44,898;47,132
305;27/01/2023 11:08;27/01/2023 11:08;45,346;47,544
306;27/01/2023 11:08;27/01/2023 11:08;45,769;47,889
307;27/01/2023 11:08;27/01/2023 11:08;46,171;48,25
308;27/01/2023 11:08;27/01/2023 11:08;46,551;48,559
309;27/01/2023 11:08;27/01/2023 11:08;46,914;48,872
310;27/01/2023 11:09;27/01/2023 11:09;47,257;49,172
311;27/01/2023 11:09;27/01/2023 11:09;47,569;49,401
312;27/01/2023 11:09;27/01/2023 11:09;47,867;49,638
313;27/01/2023 11:09;27/01/2023 11:09;48,137;49,853
314;27/01/2023 11:09;27/01/2023 11:09;48,393;50,044
315;27/01/2023 11:09;27/01/2023 11:09;48,623;50,183
316;27/01/2023 11:09;27/01/2023 11:09;48,841;50,349
317;27/01/2023 11:09;27/01/2023 11:09;49,034;50,496
318;27/01/2023 11:09;27/01/2023 11:09;49,207;50,574
319;27/01/2023 11:09;27/01/2023 11:09;49,363;50,689
320;27/01/2023 11:09;27/01/2023 11:09;49,506;50,757
321;27/01/2023 11:09;27/01/2023 11:09;49,629;50,846
