Bal;Date;Heure;debit (g/h);debit1 (g/h)
1;2022.10.06;43:47,3;19,999;19,999
2;2022.10.06;43:49,3;19,997;19,997
3;2022.10.06;43:51,3;20,004;20,004
4;2022.10.06;43:53,3;20,005;20,005
5;2022.10.06;43:55,3;20,001;20,001
6;2022.10.06;43:57,3;20;20
7;2022.10.06;43:59,3;20;20
8;2022.10.06;44:01,3;19,998;19,998
9;2022.10.06;44:03,3;20,001;20,001
10;2022.10.06;44:05,3;19,994;19,994
11;2022.10.06;44:07,3;20,003;20,003
12;2022.10.06;44:09,3;20,001;20,001
13;2022.10.06;44:11,3;19,997;19,997
14;2022.10.06;44:13,3;20,004;20,004
15;2022.10.06;44:15,3;20,008;20,008
16;2022.10.06;44:17,3;19,99;19,99
17;2022.10.06;44:19,3;19,998;19,998
18;2022.10.06;44:21,3;20,001;20,001
19;2022.10.06;44:23,3;20,004;20,004
20;2022.10.06;44:25,3;20,001;20,001
21;2022.10.06;44:27,3;20,002;20,002
22;2022.10.06;44:29,3;19,996;19,996
23;2022.10.06;44:31,3;20,004;20,004
24;2022.10.06;44:33,3;20,001;20,001
25;2022.10.06;44:35,3;20,001;20,001
26;2022.10.06;44:37,3;19,999;19,999
27;2022.10.06;44:39,3;20,007;20,007
28;2022.10.06;44:41,3;19,999;19,999
29;2022.10.06;44:43,3;19,995;19,995
30;2022.10.06;44:45,3;20,005;20,005
31;2022.10.06;44:47,3;20,006;20,006
32;2022.10.06;44:49,3;20,002;20,002
33;2022.10.06;44:51,3;20,003;20,003
34;2022.10.06;44:53,3;20,003;20,003
35;2022.10.06;44:55,3;19,998;19,998
36;2022.10.06;44:57,3;19,996;19,996
37;2022.10.06;44:59,3;20;20
38;2022.10.06;45:01,3;20,001;20,001
39;2022.10.06;45:03,3;19,996;19,996
40;2022.10.06;45:05,3;19,999;19,999
41;2022.10.06;45:07,3;20;20
42;2022.10.06;45:09,3;20,001;20,001
43;2022.10.06;45:11,3;20,002;20,002
44;2022.10.06;45:13,3;20,004;20,004
45;2022.10.06;45:15,3;20,002;20,002
46;2022.10.06;45:17,3;19,997;19,997
47;2022.10.06;45:19,3;20,002;20,002
48;2022.10.06;45:21,3;19,998;19,998
49;2022.10.06;45:23,3;20,004;20,004
50;2022.10.06;45:25,3;19,995;19,995
51;2022.10.06;45:27,3;19,998;19,998
52;2022.10.06;45:29,3;19,995;19,995
53;2022.10.06;45:31,3;20,005;20,005
54;2022.10.06;45:33,3;20;20
55;2022.10.06;45:35,3;19,999;19,999
56;2022.10.06;45:37,3;19,997;19,997
57;2022.10.06;45:39,3;19,996;19,996
58;2022.10.06;45:41,3;20;20
59;2022.10.06;45:43,3;19,995;19,995
